Ligue,Timezone, Kickoff, Home_team, Away_team, Home_score, Away_score, Result_type
WSL,Asia/Seoul, Sep 20 @ AM 03:30, EVERTON, LONDON CITY,1,2, FT
WSL,Asia/Seoul, Sep 20 @ AM 03:30, SPURS, MAN CITY,1,5, FT
BUN,Asia/Seoul, Sep 20 @ AM 03:30, STUTTGART, ST. PAULI,2,0, FT
SEA,Asia/Seoul, Sep 20 @ AM 03:45, LECCE, CAGLIARI,1,2, FT
LI1,Asia/Seoul, Sep 20 @ AM 03:45, LYON, ANGERS,1,0, FT
CHA,Asia/Seoul, Sep 20 @ AM 04:00, MIDDLESBROUGH, WEST BROMWICH,2,1, FT
LL,Asia/Seoul, Sep 20 @ AM 04:00, BETIS, REAL SOCIEDAD,3,1, FT
LET,Asia/Seoul, Sep 20 @ PM 08:30, CAMBRIDGE UTD, FLEETWOOD,2,1, FT
LET,Asia/Seoul, Sep 20 @ PM 08:30, HARROGATE, SHREWSBURY,2,0, FT
LEO,Asia/Seoul, Sep 20 @ PM 08:30, BLACKPOOL, BARNSLEY,1,0, FT
LEO,Asia/Seoul, Sep 20 @ PM 08:30, BOLTON, WIGAN,4,1, FT
LEO,Asia/Seoul, Sep 20 @ PM 08:30, LINCOLN, LUTON,3,1, FT
CHA,Asia/Seoul, Sep 20 @ PM 08:30, BIRMINGHAM, SWANSEA,1,0, FT
CHA,Asia/Seoul, Sep 20 @ PM 08:30, LEICESTER, COVENTRY,0,0, FT
CHA,Asia/Seoul, Sep 20 @ PM 08:30, QPR, STOKE,1,0, FT
EPL,Asia/Seoul, Sep 20 @ PM 08:30, LIVERPOOL, EVERTON,2,1, FT
LL,Asia/Seoul, Sep 20 @ PM 09:00, GIRONA, LEVANTE,0,4, FT
SEA,Asia/Seoul, Sep 20 @ PM 10:00, BOLOGNA, GENOA,2,1, FT
BUN,Asia/Seoul, Sep 20 @ PM 10:30, BREMEN, FREIBURG,0,3, FT
BUN,Asia/Seoul, Sep 20 @ PM 10:30, AUGSBURG, MAINZ 05,1,4, FT
BUN,Asia/Seoul, Sep 20 @ PM 10:30, HOFFENHEIM, BAYERN MÜNCHEN,1,4, FT
BUN,Asia/Seoul, Sep 20 @ PM 10:30, HAMBURG, HEIDENHEIM,2,1, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, BARNET, GRIMSBY,3,0, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, BARROW, CREWE,1,0, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, BROMLEY, CHESTERFIELD,2,2, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, CHELTENHAM, OLDHAM,0,3, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, COLCHESTER, BRISTOL ROVERS,1,1, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, MK DONS, ACCRINGTON,1,2, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, NEWPORT, GILLINGHAM,1,3, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, NOTTS, CRAWLEY,4,0, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, SALFORD, SWINDON,3,2, FT
LET,Asia/Seoul, Sep 20 @ PM 11:00, WALSALL, TRANMERE,4,2, FT
LEO,Asia/Seoul, Sep 20 @ PM 11:00, CARDIFF, BRADFORD,1,3, FT
LEO,Asia/Seoul, Sep 20 @ PM 11:00, DONCASTER, WIMBLEDON,1,2, FT
LEO,Asia/Seoul, Sep 20 @ PM 11:00, HUDDERSFIELD, BURTON ALBION,0,0, FT
LEO,Asia/Seoul, Sep 20 @ PM 11:00, PLYMOUTH, PETERBOROUGH,0,1, FT
LEO,Asia/Seoul, Sep 20 @ PM 11:00, PORT VALE, MANSFIELD TOWN,2,1, FT
LEO,Asia/Seoul, Sep 20 @ PM 11:00, READING, L ORIENT,2,1, FT
LEO,Asia/Seoul, Sep 20 @ PM 11:00, ROTHERHAM, STOCKPORT,0,1, FT
LEO,Asia/Seoul, Sep 20 @ PM 11:00, STEVENAGE, EXETER,2,1, FT
LEO,Asia/Seoul, Sep 20 @ PM 11:00, WYCOMBE, NORTHAMPTON,2,0, FT
CHA,Asia/Seoul, Sep 20 @ PM 11:00, BLACKBURN, IPSWICH,1,0, FT
CHA,Asia/Seoul, Sep 20 @ PM 11:00, DERBY, PRESTON,0,1, FT
CHA,Asia/Seoul, Sep 20 @ PM 11:00, HULL, SOUTHAMPTON,3,1, FT
CHA,Asia/Seoul, Sep 20 @ PM 11:00, NORWICH, WREXHAM,2,3, FT
CHA,Asia/Seoul, Sep 20 @ PM 11:00, PORTSMOUTH, SHEFF WED,0,2, FT
CHA,Asia/Seoul, Sep 20 @ PM 11:00, SHEFF UTD, CHARLTON,0,1, FT
EPL,Asia/Seoul, Sep 20 @ PM 11:00, BRIGHTON, TOTTENHAM,2,2, FT
EPL,Asia/Seoul, Sep 20 @ PM 11:00, BURNLEY, NOTTM FOREST,1,1, FT
EPL,Asia/Seoul, Sep 20 @ PM 11:00, WEST HAM, CRYSTAL PALACE,1,2, FT
EPL,Asia/Seoul, Sep 20 @ PM 11:00, WOLVES, LEEDS,1,3, FT
LL,Asia/Seoul, Sep 20 @ PM 11:15, REAL MADRID, ESPANYOL,2,0, FT
LI1,Asia/Seoul, Sep 21 @ AM 12:00, NANTES, RENNES,2,2, FT
MLS,Asia/Seoul, Sep 21 @ AM 01:00, NYCFC, CHARLOTTE,2,0, FT
SEA,Asia/Seoul, Sep 21 @ AM 01:00, VERONA, JUVENTUS,1,1, FT
LL,Asia/Seoul, Sep 21 @ AM 01:30, ALAVÉS, SEVILLA,1,2, FT
LL,Asia/Seoul, Sep 21 @ AM 01:30, VILLARREAL, OSASUNA,2,1, FT
BUN,Asia/Seoul, Sep 21 @ AM 01:30, LEIPZIG, KÖLN,3,1, FT
EPL,Asia/Seoul, Sep 21 @ AM 01:30, MAN UTD, CHELSEA,2,1, FT
LI1,Asia/Seoul, Sep 21 @ AM 02:00, BREST, NICE,4,1, FT
MLS,Asia/Seoul, Sep 21 @ AM 03:30, PHILADELPHIA, NEW ENGLAND,1,0, FT
SEA,Asia/Seoul, Sep 21 @ AM 03:45, UDINESE, MILAN,0,3, FT
LL,Asia/Seoul, Sep 21 @ AM 04:00, VALENCIA, ATHLETIC,2,0, FT
EPL,Asia/Seoul, Sep 21 @ AM 04:00, FULHAM, BRENTFORD,3,1, FT
LI1,Asia/Seoul, Sep 21 @ AM 04:05, LENS, LILLE,3,0, FT
MLS,Asia/Seoul, Sep 21 @ AM 05:30, ATLANTA UNITED, SAN DIEGO,1,1, FT
MLS,Asia/Seoul, Sep 21 @ AM 08:30, COLUMBUS, TORONTO,1,1, FT
MLS,Asia/Seoul, Sep 21 @ AM 08:30, INTER MIAMI, DC UNITED,3,2, FT
MLS,Asia/Seoul, Sep 21 @ AM 08:30, MONTRÉAL, NEW YORK,0,2, FT
MLS,Asia/Seoul, Sep 21 @ AM 08:30, ORLANDO, NASHVILLE,3,2, FT
MLS,Asia/Seoul, Sep 21 @ AM 09:30, DALLAS, COLORADO,3,1, FT
MLS,Asia/Seoul, Sep 21 @ AM 09:30, HOUSTON, PORTLAND,1,0, FT
MLS,Asia/Seoul, Sep 21 @ AM 09:30, SPORTING KC, WHITECAPS,0,2, FT
MLS,Asia/Seoul, Sep 21 @ AM 09:30, MINNESOTA, CHICAGO,0,3, FT
MLS,Asia/Seoul, Sep 21 @ AM 11:30, GALAXY, CINCINNATI,2,3, FT
MLS,Asia/Seoul, Sep 21 @ AM 11:30, EARTHQUAKES, ST. LOUIS,1,3, FT
SEA,Asia/Seoul, Sep 21 @ PM 07:30, LAZIO, ROMA,0,1, FT
WSL,Asia/Seoul, Sep 21 @ PM 08:00, BRIGHTON, WEST HAM,4,1, FT
WSL,Asia/Seoul, Sep 21 @ PM 08:00, CHELSEA, LEICESTER,1,0, FT
LL,Asia/Seoul, Sep 21 @ PM 09:00, RAYO, CELTA,1,1, FT
SEA,Asia/Seoul, Sep 21 @ PM 10:00, CREMONESE, PARMA,0,0, FT
SEA,Asia/Seoul, Sep 21 @ PM 10:00, TORINO, ATALANTA,0,3, FT
LI1,Asia/Seoul, Sep 21 @ PM 10:00, PARIS, STRASBOURG,2,3, FT
EPL,Asia/Seoul, Sep 21 @ PM 10:00, BOURNEMOUTH, NEWCASTLE,0,0, FT
EPL,Asia/Seoul, Sep 21 @ PM 10:00, SUNDERLAND, ASTON VILLA,1,1, FT
BUN,Asia/Seoul, Sep 21 @ PM 10:30, FRANKFURT, UNION BERLIN,3,4, FT
WSL,Asia/Seoul, Sep 21 @ PM 10:50, MAN UTD, ARSENAL,0,0, FT
CHA,Asia/Seoul, Sep 21 @ PM 11:00, BRISTOL CITY, OXFORD,1,3, FT
LL,Asia/Seoul, Sep 21 @ PM 11:15, MALLORCA, ATLÉTICO,1,1, FT
LI1,Asia/Seoul, Sep 22 @ AM 12:15, AUXERRE, TOULOUSE,1,0, FT
LI1,Asia/Seoul, Sep 22 @ AM 12:15, LE HAVRE, LORIENT,1,1, FT
LI1,Asia/Seoul, Sep 22 @ AM 12:15, MONACO, METZ,5,2, FT
BUN,Asia/Seoul, Sep 22 @ AM 12:30, LEVERKUSEN, M'GLADBACH,1,1, FT
EPL,Asia/Seoul, Sep 22 @ AM 12:30, ARSENAL, MAN CITY,1,1, FT
SEA,Asia/Seoul, Sep 22 @ AM 01:00, FIORENTINA, COMO,1,2, FT
LL,Asia/Seoul, Sep 22 @ AM 01:30, ELCHE, OVIEDO,1,0, FT
BUN,Asia/Seoul, Sep 22 @ AM 02:30, DORTMUND, WOLFSBURG,1,0, FT
SEA,Asia/Seoul, Sep 22 @ AM 03:45, INTER, SASSUOLO,2,1, FT
LL,Asia/Seoul, Sep 22 @ AM 04:00, BARCELONA, GETAFE,3,0, FT
MLS,Asia/Seoul, Sep 22 @ AM 08:00, AUSTIN, SOUNDERS,2,1, FT
MLS,Asia/Seoul,Sep 22 @ AM 10:00,LAFC,SALT LAKE,4,1,FT
LI1,Asia/Seoul,Sep 23 @ AM 03:00,MARSEILLE,PSG,1,0,FT
SEA,Asia/Seoul,Sep 23 @ AM 03:45,NAPOLI,PISA,3,2,FT
CHA,Asia/Seoul,Sep 23 @ AM 04:00,MILLWALL,WATFORD,1,0,FT
