Ligue,Timezone,Kickoff,Home_team,Away_team,p_home_win,p_draw,p_away_win,pr_home,pr_away
WSL,Asia/Seoul,Sep 13 @ AM 03:30,MAN CITY,BRIGHTON,81.6,11.4,7,,
WSL,Asia/Seoul,Sep 13 @ AM 03:30,WEST HAM,ARSENAL,15.1,18,66.9,,
BUN,Asia/Seoul,Sep 13 @ AM 03:30,LEVERKUSEN,FRANKFURT,43.2,24.9,32,89.8,88.1
LI1,Asia/Seoul,Sep 13 @ AM 03:45,MARSEILLE,LORIENT,65.4,18.5,16.2,87.1,78.4
CHA,Asia/Seoul,Sep 13 @ AM 04:00,IPSWICH,SHEFF UTD,42.5,26.7,30.8,79.7,80.8
LL,Asia/Seoul,Sep 13 @ AM 04:00,SEVILLA,ELCHE,50.4,26.4,23.2,82,81.6
LL,Asia/Seoul,Sep 14 @ AM 01:30,ATHLETIC,ALAVÉS,57.9,23.9,18.1,89.1,82.5
BUN,Asia/Seoul,Sep 14 @ AM 01:30,BAYERN MÜNCHEN,HAMBURG,84.2,9.5,6.3,94.9,78.2
EPL,Asia/Seoul,Sep 14 @ AM 01:30,WEST HAM,TOTTENHAM,32.7,25.5,41.8,87.9,90.6
SEA,Asia/Seoul,Sep 14 @ AM 03:45,FIORENTINA,NAPOLI,29.3,28.8,41.9,87.2,91.3
LL,Asia/Seoul,Sep 14 @ AM 04:00,ATLÉTICO,VILLARREAL,49.5,25.3,25.2,90.5,89.1
EPL,Asia/Seoul,Sep 14 @ AM 04:00,BRENTFORD,CHELSEA,30.8,25.1,44.1,90.4,96.1
LI1,Asia/Seoul,Sep 14 @ AM 04:05,AUXERRE,MONACO,23,23,54,81.1,88.3
MLS,Asia/Seoul,Sep 14 @ AM 08:30,ATLANTA UNITED,COLUMBUS,26.2,23.5,50.3,74.8,81.5
MLS,Asia/Seoul,Sep 14 @ AM 08:30,CHARLOTTE,INTER MIAMI,35.4,26,38.5,79.1,82.1
MLS,Asia/Seoul,Sep 14 @ AM 08:30,CINCINNATI,NASHVILLE,48.5,25.8,25.7,79.2,78.6
MLS,Asia/Seoul,Sep 14 @ AM 08:30,DC UNITED,ORLANDO,22.6,22.2,55.2,71.7,79.9
MLS,Asia/Seoul,Sep 14 @ AM 08:30,MONTRÉAL,ST. LOUIS,43,26.7,30.3,72.7,73
MLS,Asia/Seoul,Sep 14 @ AM 08:30,NEW ENGLAND,TORONTO,47.9,26,26.1,73.6,72.9
LL,Asia/Seoul,Sep 14 @ AM 01:30,ATHLETIC,ALAVÉS,57.9,23.9,18.1,89.1,82.5
BUN,Asia/Seoul,Sep 14 @ AM 01:30,BAYERN MÜNCHEN,HAMBURG,84.2,9.5,6.3,94.9,78.2
EPL,Asia/Seoul,Sep 14 @ AM 01:30,WEST HAM,TOTTENHAM,32.7,25.5,41.8,87.9,90.6
SEA,Asia/Seoul,Sep 14 @ AM 03:45,FIORENTINA,NAPOLI,29.3,28.8,41.9,87.2,91.3
LL,Asia/Seoul,Sep 14 @ AM 04:00,ATLÉTICO,VILLARREAL,49.5,25.3,25.2,90.5,89.1
EPL,Asia/Seoul,Sep 14 @ AM 04:00,BRENTFORD,CHELSEA,30.8,25.1,44.1,90.4,96.1
LI1,Asia/Seoul,Sep 14 @ AM 04:05,AUXERRE,MONACO,23,23,54,81.1,88.3
MLS,Asia/Seoul,Sep 14 @ AM 08:30,ATLANTA UNITED,COLUMBUS,26.2,23.5,50.3,74.8,81.5
MLS,Asia/Seoul,Sep 14 @ AM 08:30,CHARLOTTE,INTER MIAMI,35.4,26,38.5,79.1,82.1
MLS,Asia/Seoul,Sep 14 @ AM 08:30,CINCINNATI,NASHVILLE,48.5,25.8,25.7,79.2,78.6
MLS,Asia/Seoul,Sep 14 @ AM 08:30,DC UNITED,ORLANDO,22.6,22.2,55.2,71.7,79.9
MLS,Asia/Seoul,Sep 14 @ AM 08:30,MONTRÉAL,ST. LOUIS,43,26.7,30.3,72.7,73
MLS,Asia/Seoul,Sep 14 @ AM 08:30,NEW ENGLAND,TORONTO,47.9,26,26.1,73.6,72.9
MLS,Asia/Seoul,Sep 14 @ AM 09:30,CHICAGO,NYCFC,41.1,26.7,32.3,76.5,77.5
MLS,Asia/Seoul,Sep 14 @ AM 09:30,DALLAS,AUSTIN,40.1,26.6,33.2,75.4,77
MLS,Asia/Seoul,Sep 14 @ AM 09:30,EARTHQUAKES,LAFC,25.8,23.3,50.9,74.3,80.9
MLS,Asia/Seoul,Sep 14 @ AM 09:30,SOUNDERS,GALAXY,62.3,19,17.7,83.2,77.3
MLS,Asia/Seoul,Sep 14 @ AM 10:30,COLORADO,HOUSTON,44.6,26.9,28.5,74.8,75.5
MLS,Asia/Seoul,Sep 14 @ AM 10:30,SALT LAKE,SPORTING KC,53.8,23.7,22.5,76.1,73.2
MLS,Asia/Seoul,Sep 14 @ AM 10:35,WHITECAPS,PHILADELPHIA,40.4,26.6,32.9,79.9,81.5
MLS,Asia/Seoul,Sep 14 @ AM 11:30,PORTLAND,NEW YORK,42.8,26.7,30.5,77.7,78.1
MLS,Asia/Seoul,Sep 14 @ AM 11:30,SAN DIEGO,MINNESOTA,44.8,26.9,28.3,80,79.5
SEA,Asia/Seoul,Sep 14 @ PM 07:30,ROMA,TORINO,60.9,21.7,17.4,90.6,83.3
WSL,Asia/Seoul,Sep 14 @ PM 08:00,ASTON VILLA,CHELSEA,9.8,12.7,77.5,,
WSL,Asia/Seoul,Sep 14 @ PM 08:00,LEICESTER,LIVERPOOL,31.6,25.3,43.1,,
WSL,Asia/Seoul,Sep 14 @ PM 08:00,LONDON CITY,MAN UTD,10.4,13.5,76.2,,
CHA,Asia/Seoul,Sep 14 @ PM 08:00,SOUTHAMPTON,PORTSMOUTH,51.1,24.9,24.1,79.9,77.9
LL,Asia/Seoul,Sep 14 @ PM 09:00,CELTA,GIRONA,54.4,22.8,22.8,83.7,80
SEA,Asia/Seoul,Sep 14 @ PM 10:00,ATALANTA,LECCE,64.8,19.4,15.8,90.2,79.3
SEA,Asia/Seoul,Sep 14 @ PM 10:00,PISA,UDINESE,35,29.2,35.9,79.3,81.8
LI1,Asia/Seoul,Sep 14 @ PM 10:00,LILLE,TOULOUSE,51.6,23.8,24.6,89.5,83.6
EPL,Asia/Seoul,Sep 14 @ PM 10:00,BURNLEY,LIVERPOOL,13.9,17.1,69,85.3,100
WSL,Asia/Seoul,Sep 14 @ PM 10:30,EVERTON,SPURS,50.7,25,24.3,,
BUN,Asia/Seoul,Sep 14 @ PM 10:30,ST. PAULI,AUGSBURG,43.5,26.7,29.8,80,82.1
LL,Asia/Seoul,Sep 14 @ PM 11:15,LEVANTE,BETIS,30.3,26.4,43.3,80.2,85.8
LI1,Asia/Seoul,Sep 15 @ AM 12:15,PSG,LENS,66.8,17.7,15.5,98.1,85.1
LI1,Asia/Seoul,Sep 15 @ AM 12:15,METZ,ANGERS,41.6,27,31.3,77.1,79.1
LI1,Asia/Seoul,Sep 15 @ AM 12:15,BREST,PARIS,42.2,25.1,32.7,83.1,77.9
LI1,Asia/Seoul,Sep 15 @ AM 12:15,STRASBOURG,LE HAVRE,56.8,22.1,21.1,85.5,78.4
BUN,Asia/Seoul,Sep 15 @ AM 12:30,M'GLADBACH,BREMEN,47.1,23.3,29.6,81.3,83.3
EPL,Asia/Seoul,Sep 15 @ AM 12:30,MAN CITY,MAN UTD,65.6,18.6,15.8,96.5,90
SEA,Asia/Seoul,Sep 15 @ AM 01:00,SASSUOLO,LAZIO,29,26.5,44.5,79,87.7
LL,Asia/Seoul,Sep 15 @ AM 01:30,OSASUNA,RAYO,39.4,28.1,32.5,84.7,84.2
SEA,Asia/Seoul,Sep 15 @ AM 03:45,MILAN,BOLOGNA,49.4,25.7,24.9,88.9,87.6
LI1,Asia/Seoul,Sep 15 @ AM 03:45,RENNES,LYON,37,25.9,37,82.9,88.7
LL,Asia/Seoul,Sep 15 @ AM 04:00,BARCELONA,VALENCIA,73.1,15.3,11.7,96.5,83.9
SEA,Asia/Seoul,Sep 16 @ AM 01:30,VERONA,CREMONESE,39.7,28.9,31.4,79.5,80.2
SEA,Asia/Seoul,Sep 16 @ AM 03:45,COMO,GENOA,56.5,24.4,19.1,83.8,82.2
LL,Asia/Seoul,Sep 16 @ AM 04:00,ESPANYOL,MALLORCA,43,27.8,29.2,82.9,81.8
